Id2,AREA CHARACTERISTICS - Area (Land),AREA CHARACTERISTICS - Area (Water),AREA CHARACTERISTICS - Internal Point (Latitude),AREA CHARACTERISTICS - Internal Point (Longitude)
17031820901,      11556269,             0,+41.7628963,-087.7745375
17031820902,       2267221,             0,+41.7539913,-087.7530199
17031821001,       1973797,             0,+41.7421720,-087.7913613
17031821002,       2216277,             0,+41.7415272,-087.7764294
17031821101,       1720124,             0,+41.7382829,-087.7621853
17031821102,       1968488,             0,+41.7429218,-087.7492511
17031821200,       2943096,             0,+41.6683912,-087.6722980
17031821300,       1745241,        154297,+41.6551035,-087.6673371
17031821401,        854231,             0,+41.6662105,-087.6578718
17031821402,       1692826,         93828,+41.6614309,-087.6520323
17031821500,       4164548,        452981,+41.6505610,-087.6360713
17031821600,       3556635,             0,+41.7300153,-087.6993200
17031821700,       1546757,             0,+41.7211898,-087.7153649
17031821800,       2147408,             0,+41.7194986,-087.7004232
17031821900,       1902374,             0,+41.7122275,-087.6970001
17031822000,       1240336,             0,+41.7312484,-087.7311338
17031822101,       1861190,             0,+41.7241572,-087.7456175
17031822102,       2243693,             0,+41.7215520,-087.7315013
17031822200,       1396249,             0,+41.7272130,-087.7590953
17031822301,       1449751,             0,+41.7298543,-087.7712608
17031822302,       1601858,             0,+41.7171389,-087.7740615
17031822400,       2375946,             0,+41.7229679,-087.7884641
17031822500,       1819233,             0,+41.7178739,-087.7582831
17031822601,       1792132,             0,+41.7089633,-087.7538137
17031822602,       2477607,            59,+41.7007760,-087.7554545
17031822701,       1078063,             0,+41.7123761,-087.7303270
17031822702,       1298804,             0,+41.7056906,-087.7305798
17031822801,       1150828,             0,+41.6954002,-087.7382046
17031822802,       1305003,             0,+41.6975608,-087.7278727
17031822900,        813247,             0,+41.7276985,-087.7947648
17031823001,       3642975,             0,+41.7069825,-087.7841995
17031823002,       2007869,             0,+41.6960739,-087.7694862
17031823101,       1633867,             0,+41.6908498,-087.7928456
17031823102,       3646334,         32714,+41.6857372,-087.7792908
17031823200,       7438336,        208945,+41.6772853,-087.7557003
17031823302,       5535570,         82300,+41.6608299,-087.7230265
17031823303,       2004696,             0,+41.6777612,-087.7279283
17031823304,       3557492,             0,+41.6814160,-087.7027707
17031823400,       5160389,             0,+41.6651703,-087.6965048
17031823500,       1112781,             0,+41.6656039,-087.6831787
17031823602,       4847250,         72892,+41.6496157,-087.7616774
17031823603,       2162589,        330409,+41.6499735,-087.7105023
17031823604,       3563788,             0,+41.6578553,-087.7884283
17031823605,       3287626,        206529,+41.6675149,-087.7754282
17031823702,       3898290,             0,+41.7109982,-087.8320932
17031823703,       5206710,             0,+41.7187966,-087.8082367
17031823704,       1948806,             0,+41.7266537,-087.8391699
17031823705,       1955331,             0,+41.7244675,-087.8261928
17031823801,      45238969,       3680133,+41.6875530,-087.8782105
17031823803,       5367320,          8799,+41.6988605,-087.8279478
17031823805,       1448302,             0,+41.6873618,-087.8243549
17031823806,       2911824,           324,+41.6869427,-087.8049865
17031823901,      10233412,        354234,+41.6690598,-087.8379801
17031823903,       5568066,        123669,+41.6612104,-087.8180974
17031823904,       3707972,         29482,+41.6578494,-087.8045131
17031824003,       3802519,             0,+41.6636065,-087.9857355
17031824004,      22816312,       1238671,+41.6832476,-087.9477071
17031824005,      11030348,        297883,+41.6625965,-088.0163045
17031824006,      15225221,        179569,+41.6523772,-087.9495062
17031824105,       4404209,             0,+41.6378217,-087.8374772
17031824106,       8547954,         23928,+41.6183582,-087.8230168
17031824107,       3813006,             0,+41.6084176,-087.8133092
17031824108,       3863456,         19721,+41.5914523,-087.8406956
17031824113,       7700002,         36035,+41.6226172,-087.9006909
17031824114,       6128251,        130210,+41.6196595,-087.8802558
17031824115,       2677506,         42699,+41.6238866,-087.8445146
17031824116,       8029619,       1301475,+41.6107491,-087.8606961
17031824117,       6337378,             0,+41.5694879,-087.8379750
17031824119,       7671574,         43640,+41.5818610,-087.8994758
17031824120,      15480743,         93131,+41.5797819,-087.8729289
17031824121,       1739379,             0,+41.5918129,-087.8275418
17031824122,       3983804,             0,+41.5799139,-087.8178593
