GEO.id,GEO.id2,GEO.display-label,VD002,VD003,VD004,VD005,VD006,VD007,VD008,VD010,VD011,VD012,VD013,VD014,VD015,VD016,VD017,VD018,VD019,VD020,VD021,VD022,VD023,VD024,VD025,VD026,VD027,VD028,VD029,VD030,VD031,VD032,VD033,VD034,VD035,VD036,VD037,VD038,VD039,VD040,VD041,VD042,VD043,VD044,VD045,VD046,VD047,VD048,VD049,VD050,VD051,VD052,VD053,VD054,VD055,VD056,VD057,VD058,VD059,VD060,VD061,VD062,VD063,VD064,VD065,VD067,VD068,VD069,VD070,VD071,VD072,VD073,VD074,VD075,VD076,VD077,VD079,VD080,VD081,VD082,VD083,VD084,VD085,VD086,VD087,VD088,VD089,VD090,VD091,VD092,VD093,VD094,VD095,VD096,VD097,VD098,VD099,VD100,VD101,VD102,VD103,VD104,VD105
1400000US17031803300,17031803300,"Census Tract 8033, Cook County, Illinois",DPST  ,IL,140,00,000,  ,0001177,2,3,17,031,H1,23,     ,  ,  ,     ,  ,  ,803300, ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,16980,23,16974,176,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,       1987422,             0,Census Tract 8033,S,!,5543,3120,+42.0850701,-087.9894768,CT, ,      ,     ,01779784,01784766,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,23,  ,1, ,     ,                  
1400000US17031803400,17031803400,"Census Tract 8034, Cook County, Illinois",DPST  ,IL,140,00,000,  ,0001178,2,3,17,031,H1,23,     ,  ,  ,     ,  ,  ,803400, ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,16980,23,16974,176,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,       3077022,             0,Census Tract 8034,S,!,6384,2449,+42.0745454,-087.9711873,CT, ,      ,     ,01779784,01784766,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,23,  ,1, ,     ,                  
1400000US17031803500,17031803500,"Census Tract 8035, Cook County, Illinois",DPST  ,IL,140,00,000,  ,0001179,2,3,17,031,H1,23,     ,  ,  ,     ,  ,  ,803500, ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,16980,23,16974,176,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,       2951694,             0,Census Tract 8035,S,!,5813,2376,+42.0739284,-087.9940638,CT, ,      ,     ,01779784,01784766,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,23,  ,1, ,     ,                  
1400000US17031803603,17031803603,"Census Tract 8036.03, Cook County, Illinois",DPST  ,IL,140,00,000,  ,0001180,2,3,17,031,H1,23,     ,  ,  ,     ,  ,  ,803603, ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,16980,23,16974,176,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,      10119117,            62,Census Tract 8036.03,S,!,6751,2484,+42.1184082,-088.0925123,CT, ,      ,     ,01779784,01784766,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,23,  ,1, ,     ,                  
1400000US17031803604,17031803604,"Census Tract 8036.04, Cook County, Illinois",DPST  ,IL,140,00,000,  ,0001181,2,3,17,031,H1,23,     ,  ,  ,     ,  ,  ,803604, ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,16980,23,16974,176,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,       2513437,             0,Census Tract 8036.04,S,!,4314,1910,+42.1298662,-088.0409523,CT, ,      ,     ,01779784,01784766,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,23,  ,1, ,     ,                  
1400000US17031803605,17031803605,"Census Tract 8036.05, Cook County, Illinois",DPST  ,IL,140,00,000,  ,0001182,2,3,17,031,H1,23,     ,  ,  ,     ,  ,  ,803605, ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,16980,23,16974,176,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,       3191638,         40495,Census Tract 8036.05,S,!,7253,2727,+42.1280433,-088.0248514,CT, ,      ,     ,01779784,01784766,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,23,  ,1, ,     ,                  
1400000US17031803606,17031803606,"Census Tract 8036.06, Cook County, Illinois",DPST  ,IL,140,00,000,  ,0001183,2,3,17,031,H1,23,     ,  ,  ,     ,  ,  ,803606, ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,16980,23,16974,176,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,       1531426,             0,Census Tract 8036.06,S,!,8287,2942,+42.1389181,-088.0124200,CT, ,      ,     ,01779784,01784766,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,23,  ,1, ,     ,                  
1400000US17031803607,17031803607,"Census Tract 8036.07, Cook County, Illinois",DPST  ,IL,140,00,000,  ,0001184,2,3,17,031,H1,23,     ,  ,  ,     ,  ,  ,803607, ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,16980,23,16974,176,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,       2531004,         50181,Census Tract 8036.07,S,!,5164,1865,+42.1185514,-088.0155401,CT, ,      ,     ,01779784,01784766,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,23,  ,1, ,     ,                  
1400000US17031803608,17031803608,"Census Tract 8036.08, Cook County, Illinois",DPST  ,IL,140,00,000,  ,0001185,2,3,17,031,H1,23,     ,  ,  ,     ,  ,  ,803608, ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,16980,23,16974,176,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,      15517568,        540280,Census Tract 8036.08,S,!,7326,3036,+42.1440733,-088.0735467,CT, ,      ,     ,01779784,01784766,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,23,  ,1, ,     ,                  
1400000US17031803610,17031803610,"Census Tract 8036.10, Cook County, Illinois",DPST  ,IL,140,00,000,  ,0001186,2,3,17,031,H1,23,     ,  ,  ,     ,  ,  ,803610, ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,16980,23,16974,176,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,       4417183,         38461,Census Tract 8036.10,S,!,7198,3516,+42.1308076,-088.0647103,CT, ,      ,     ,01779784,01784766,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,23,  ,1, ,     ,                  
1400000US17031803611,17031803611,"Census Tract 8036.11, Cook County, Illinois",DPST  ,IL,140,00,000,  ,0001187,2,3,17,031,H1,23,     ,  ,  ,     ,  ,  ,803611, ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,16980,23,16974,176,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,       1120432,         20740,Census Tract 8036.11,S,!,6112,2183,+42.1481081,-088.0181128,CT, ,      ,     ,01779784,01784766,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,23,  ,1, ,     ,                  
1400000US17031803612,17031803612,"Census Tract 8036.12, Cook County, Illinois",DPST  ,IL,140,00,000,  ,0001188,2,3,17,031,H1,23,     ,  ,  ,     ,  ,  ,803612, ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,16980,23,16974,176,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,        671526,             0,Census Tract 8036.12,S,!,3536,1462,+42.1498498,-088.0087822,CT, ,      ,     ,01779784,01784766,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,23,  ,1, ,     ,                  
1400000US17031803701,17031803701,"Census Tract 8037.01, Cook County, Illinois",DPST  ,IL,140,00,000,  ,0001189,2,3,17,031,H1,23,     ,  ,  ,     ,  ,  ,803701, ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,16980,23,16974,176,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,       1485723,             0,Census Tract 8037.01,S,!,2705,1517,+42.1190705,-088.0525589,CT, ,      ,     ,01779784,01784766,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,23,  ,1, ,     ,                  
1400000US17031803702,17031803702,"Census Tract 8037.02, Cook County, Illinois",DPST  ,IL,140,00,000,  ,0001190,2,3,17,031,H1,23,     ,  ,  ,     ,  ,  ,803702, ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,16980,23,16974,176,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,       3430183,             0,Census Tract 8037.02,S,!,6255,2784,+42.1056862,-088.0541459,CT, ,      ,     ,01779784,01784766,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,23,  ,1, ,     ,                  
